US States,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Total Cases per million,Deaths per million,Total tests,Tests per million
New York ,287245,9800,21728,437,234299,14642,1108,777568,39635
New Jersey ,105523,3327,5863,246,98389,11881,660,213125,23996
Massachusetts ,50969,,2556,,40295,7462,374,215213,31509
California ,41382,570,1618,24,36427,1057,41,494173,12623
Pennsylvania ,40149,,1736,,37763,3139,136,186143,14552
Illinois ,39658,,1795,,37257,3093,140,189632,14790
Michigan ,36641,,3085,,30284,3680,310,140130,14073
Florida ,30839,306,1055,9,29098,1497,51,334974,16262
Louisiana ,26512,372,1703,43,9882,5685,365,142056,30460
Connecticut ,23921,,1764,,22092,6679,493,74038,20672
Texas ,23773,603,623,22,15125,853,22,262816,9425
Georgia ,22695,204,904,5,21760,2204,88,119014,11558
Maryland ,17766,1150,875,77,15726,2959,146,89123,14845
Ohio,15169,,690,,14359,1303,59,107109,9200
Indiana ,14395,715,785,44,13596,2169,118,79774,12019
Washington ,13176,,723,,10646,1806,99,160324,21979
Colorado ,12366,772,436,26,10258,1470,52,72178,8579
Virginia ,12256,,674,,11023,2216,122,56789,10267
Tennessee ,8726,,168,,4188,1312,25,131298,19741
North Carolina ,8719,469,304,11,7113,859,30,105265,10365
Missouri ,7129,430,215,13,6572,6747,203,50891,48164
Rhode Island ,6766,72,272,5,5947,1111,45,67017,11004
Alabama ,6045,,266,,5709,870,38,60714,8740
Arizona ,6032,6,212,3,5800,1240,44,52641,10821
Mississippi ,5718,284,221,12,5497,1913,74,58957,19726
Wisconsin ,5356,,262,,2781,927,45,59929,10371
South Carolina ,5070,,157,,1212,1023,32,46996,9483
Nevada ,4539,141,204,7,2494,1553,70,45885,15699
Iowa,4445,,107,,2734,1419,34,31973,10207
Utah ,3782,,39,,2855,1242,13,84697,27812
Kentucky ,3779,,200,,2457,851,45,44962,10126
District of Columbia ,3699,171,165,12,2882,5404,241,17302,25277
Delaware ,3576,134,112,12,2655,3766,118,17698,18639
Oklahoma ,3446,261,244,23,1548,623,44,56597,10239
Minnesota ,3193,72,194,6,919,815,50,53012,13530
Arkansas ,2966,11,119,1,2344,1020,41,23588,8109
Kansas ,2829,19,47,,1818,946,16,38053,12724
New Mexico ,2521,,84,,1823,1205,40,51510,24617
Oregon ,2421,,50,,2349,1271,26,20112,10559
Nebraska ,2177,,86,,2091,533,21,45492,11145
South Dakota,2040,,10,,840,2360,12,14824,17152
Idaho ,1870,,54,,949,1108,32,19361,11471
New Hampshire ,1720,,53,,1117,1280,39,17727,13193
West Virginia ,1010,,32,,753,552,17,32419,17724
Maine ,990,25,50,3,421,743,38,17721,13296
Vermont ,843,16,46,2,797,1349,74,14682,23492
North Dakota ,803,55,16,1,477,1068,21,19350,25725
Hawaii ,601,,13,,125,423,9,28272,19881
 Wyoming ,473,,7,,145,813,12,7623,13102
Montana ,445,1,14,,92,427,13,12497,11996
Alaska ,339,,9,,121,459,12,11942,16170
