State,Date,Total_cases,New_cases,Total_deaths,New_deaths,Active_cases,Cases_per_million,Deaths_per_million,Total_tests,Tests_per_million
New York,4/28/20,300334,2330,22866,243,231911,15309,1166,844994,43071
New Jersey,4/28/20,113856,2668,6442,398,106143,12819,725,227390,25602
Massachusetts,4/28/20,58302,1840,3153,150,47031,8536,462,254500,37261
California,4/28/20,48102,2219,2125,142,45371,3752,166,242189,18889
Pennsylvania,4/28/20,46032,1026,1862,86,40833,1176,48,526084,13438
Illinois,4/28/20,43264,109,1860,,40712,3382,145,209088,16346
Michigan,4/28/20,39262,1052,3567,160,27353,3943,358,163213,16391
Florida,4/28/20,32846,708,1171,83,30989,1595,57,368651,17897
Louisiana,4/28/20,27286,218,1801,61,8182,5851,386,151108,32401
Connecticut,4/28/20,26312,315,2089,77,24158,7347,583,92745,25896
Texas,4/28/20,26171,655,690,18,14311,939,25,300384,10772
Georgia,4/28/20,24606,381,1025,31,23550,2390,100,140020,13597
Maryland,4/28/20,20113,626,1016,71,17834,3350,169,107785,17954
Ohio,4/28/20,16769,444,799,46,15850,1440,69,119391,10255
Indiana,4/28/20,16588,627,992,60,15582,2499,149,87181,13135
Washington,4/28/20,14339,804,492,34,12032,1704,58,82753,9835
Colorado,4/28/20,13879,,706,,12614,2509,128,66341,11994
Virginia,4/28/20,13686,,765,,11114,1876,105,179679,24633
Tennessee,4/28/20,10052,134,188,4,4943,1511,28,161928,24346
North Carolina,4/28/20,9674,259,360,24,8012,953,35,112752,11102
Missouri,4/28/20,7926,218,239,6,7345,7501,226,57693,54602
Rhode Island,4/28/20,7303,64,314,14,6442,1199,52,70932,11647
Alabama,4/28/20,6948,232,293,18,6585,1000,42,67438,9708
Arizona,4/28/20,6687,148,242,14,6425,1375,50,75827,15587
Mississippi,4/28/20,6376,508,136,9,4076,2035,43,39823,12713
Wisconsin,4/28/20,6342,248,239,10,6103,2122,80,64412,21551
South Carolina,4/28/20,6289,208,300,19,3676,1088,52,69824,12084
Nevada,4/28/20,5735,122,192,15,1842,1157,39,53133,10721
Iowa,4/28/20,4805,115,219,,1939,1644,75,47821,16361
Utah,4/28/20,4575,413,137,12,3342,4818,144,21180,22307
Kentucky,4/28/20,4343,110,45,4,3410,1426,15,102439,33638
District of Columbia,4/28/20,4181,365,301,15,1968,756,54,63829,11548
Delaware,4/28/20,4146,,213,,2811,934,48,48799,10990
Oklahoma,4/28/20,3994,102,190,5,3144,5835,278,18885,27590
Minnesota,4/28/20,3410,130,207,10,943,870,53,53012,13530
Arkansas,4/28/20,3358,,56,,3280,1763,29,23772,12480
Kansas,4/28/20,3296,,122,,2671,1133,42,25199,8663
New Mexico,4/28/20,3069,,51,,1965,1026,17,40629,13585
Oregon,4/28/20,2823,,104,,2069,1349,50,58803,28103
Nebraska,4/28/20,2354,,92,,2262,577,23,51198,12543
South Dakota,4/28/20,2245,,11,,918,2598,13,15596,18045
Idaho,4/28/20,1938,,60,,1080,1442,45,20145,14993
New Hampshire,4/28/20,1917,,58,,820,1136,34,19895,11787
West Virginia,4/28/20,1077,14,37,1,559,589,20,43227,23634
Maine,4/28/20,1040,17,51,,404,780,38,17807,13360
Vermont,4/28/20,991,49,19,,563,1317,25,23723,31538
North Dakota,4/28/20,862,7,47,,815,1379,75,15215,24345
Hawaii,4/28/20,607,,16,,98,427,11,29247,20567
Wyoming,4/28/20,536,16,7,,186,921,12,8167,14037
Montana,4/28/20,451,2,15,1,80,433,14,13191,12663
Alaska,4/28/20,351,6,9,,114,475,12,17089,23140
