model,forecast_date,target,target_end_date,state,actual,quantile_0.025,quantile_0.975
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Alabama,152,102.0,325.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Alabama,243,116.0,676.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Alabama,339,131.0,1151.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Alabama,428,142.0,1836.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Delaware,52,36.0,146.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Delaware,71,36.0,295.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Delaware,90,37.0,496.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Delaware,108,38.0,828.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,District of Columbia,75,54.0,154.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,District of Columbia,103,59.0,272.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,District of Columbia,127,64.0,404.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,District of Columbia,145,66.0,571.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Florida,796,573.0,1238.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Florida,1291,714.0,2505.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Florida,1873,858.0,4351.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Florida,2490,964.0,6744.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Georgia,717,488.0,1450.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Georgia,1108,596.0,2578.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Georgia,1543,708.0,3855.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Georgia,1973,805.0,5470.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Hawaii,18,10.0,53.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Hawaii,34,10.0,131.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Hawaii,45,10.0,191.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Hawaii,50,10.0,225.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Idaho,35,28.0,78.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Idaho,45,28.0,130.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Idaho,52,29.0,168.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Idaho,56,29.0,199.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Illinois,1174,830.0,2021.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Illinois,1678,954.0,3667.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Illinois,2177,1049.0,6152.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Illinois,2656,1108.0,10358.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Indiana,564,382.0,1116.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Indiana,801,434.0,1949.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Indiana,987,471.0,2827.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Indiana,1142,497.0,3990.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Iowa,72,45.0,182.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Iowa,127,55.0,400.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Iowa,198,69.0,677.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Iowa,279,86.0,985.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Alaska,11,8.0,30.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Alaska,15,8.0,55.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Alaska,19,8.0,80.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Alaska,21,8.0,104.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Kansas,91,58.0,260.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Kansas,148,65.0,547.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Kansas,213,76.0,908.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Kansas,275,82.0,1360.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Kentucky,190,110.0,410.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Kentucky,343,140.0,911.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Kentucky,526,171.0,1696.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Kentucky,723,194.0,3051.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Louisiana,993,852.0,1736.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Louisiana,1112,871.0,2625.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Louisiana,1191,879.0,3494.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Louisiana,1253,880.0,4383.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Maine,27,19.0,65.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Maine,36,19.0,113.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Maine,43,19.0,165.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Maine,48,19.0,202.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Maryland,398,268.0,822.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Maryland,623,308.0,1638.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Maryland,829,345.0,2667.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Maryland,1015,369.0,4527.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Massachusetts,1547,1013.0,2742.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Massachusetts,2764,1324.0,6181.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Massachusetts,4076,1581.0,11505.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Massachusetts,5255,1738.0,19042.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Michigan,1974,1576.0,3469.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Michigan,2378,1656.0,5228.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Michigan,2668,1697.0,6976.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Michigan,2928,1725.0,9017.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Minnesota,122,74.0,270.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Minnesota,204,85.0,590.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Minnesota,296,100.0,1034.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Minnesota,389,110.0,1601.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Mississippi,142,98.0,391.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Mississippi,210,105.0,774.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Mississippi,272,117.0,1126.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Mississippi,319,123.0,1561.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Missouri,220,122.0,635.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Missouri,396,153.0,1375.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Missouri,602,203.0,2257.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Missouri,786,241.0,3155.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Montana,9,7.0,23.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Montana,13,7.0,47.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Montana,16,7.0,66.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Montana,17,7.0,81.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Nebraska,34,18.0,94.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Nebraska,62,23.0,212.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Nebraska,100,29.0,404.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Nebraska,141,36.0,669.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Nevada,160,118.0,311.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Nevada,216,128.0,507.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Nevada,261,135.0,715.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Nevada,297,139.0,948.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,New Hampshire,40,24.0,100.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,New Hampshire,57,25.0,172.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,New Hampshire,68,26.0,224.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,New Hampshire,75,26.0,274.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,New Jersey,3651,2676.0,6392.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,New Jersey,4717,3001.0,9820.0
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,New Jersey,5440,3180.0,13268.0
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,New Jersey,6012,3289.0,17459.0
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,New Mexico,38,27.0,83.0
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,New Mexico,58,28.0,174.0
