,model,forecast_date,target,target_end_date,state,actual,quantile_0.025,quantile_0.975
0,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Alabama,184,157,226
1,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Alaska,15,15,18
2,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Arizona,265,222,325
3,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Arkansas,50,42,62
4,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,California,2012,1792,2520
5,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Colorado,585,525,650
6,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Connecticut,2153,1748,2483
7,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Delaware,232,175,306
8,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Florida,1419,1162,1715
9,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Georgia,927,843,1026
10,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Hawaii,14,10,24
11,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Idaho,54,47,71
12,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Illinois,2426,1836,2808
13,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Indiana,815,703,894
14,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Iowa,103,88,131
15,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Kansas,113,98,130
16,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Kentucky,165,154,183
17,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Louisiana,1832,1604,1983
18,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Maine,37,33,51
19,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Maryland,1036,892,1227
20,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Massachusetts,3305,2683,3899
21,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Michigan,3191,2809,3644
22,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Minnesota,148,131,170
23,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Mississippi,163,155,181
24,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Missouri,347,267,430
25,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Montana,12,11,20
26,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Nebraska,12,6,19
27,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Nevada,214,182,265
28,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New Hampshire,76,61,111
29,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New Jersey,7469,6195,8672
30,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New Mexico,81,65,103
31,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New York,19217,16444,21285
32,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,North Carolina,219,195,259
33,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,North Dakota,9,9,9
34,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Ohio,664,593,733
35,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Oklahoma,154,140,172
36,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Oregon,98,84,115
37,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Pennsylvania,2137,1747,2531
38,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Rhode Island,83,41,157
39,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,South Carolina,200,170,235
40,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,South Dakota,77,35,126
41,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Tennessee,255,212,311
42,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Texas,855,752,1008
43,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Utah,74,43,108
44,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Vermont,45,41,55
45,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Virginia,396,338,472
46,CU 40% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Washington,807,764,931
