state,mass_gathering_restriction,initual_business_closure,educational_facilities_closure,non-Essential_services_closure,stay_at_home_order,travel_severely_limited
Alabama,2020-03-19,2020-03-19,2020-03-19,2020-03-28,2020-04-04,NaN
Alaska,2020-03-24,2020-03-17,2020-03-16,2020-03-28,2020-03-28,NaN
Arizona,2020-03-30,NaN,2020-03-16,NaN,2020-03-30,NaN
Arkansas,2020-03-27,2020-03-19,2020-03-17,NaN,NaN,NaN
California,2020-03-11,2020-03-19,2020-03-19,2020-03-19,2020-03-19,NaN
Colorado,2020-03-19,2020-03-17,2020-03-23,2020-03-26,2020-03-26,NaN
Connecticut,2020-03-12,2020-03-16,2020-03-17,2020-03-23,NaN,NaN
Delaware,2020-03-16,2020-03-16,2020-03-16,2020-03-24,2020-03-24,NaN
Florida,2020-04-03,2020-03-17,2020-03-17,NaN,2020-04-03,NaN
Georgia,2020-03-24,2020-03-24,2020-03-18,NaN,2020-04-03,NaN
Hawaii,2020-03-17,2020-03-17,2020-03-19,2020-03-25,2020-03-25,NaN
Idaho,2020-03-25,2020-03-25,2020-03-23,2020-03-25,2020-03-25,NaN
Illinois,2020-03-13,2020-03-16,2020-03-17,2020-03-21,2020-03-21,NaN
Indiana,2020-03-12,2020-03-16,2020-03-19,2020-03-24,2020-03-25,NaN
Iowa,2020-03-17,2020-03-17,2020-04-04,NaN,NaN,NaN
Kansas,2020-03-17,NaN,2020-03-17,NaN,2020-03-30,NaN
Kentucky,2020-03-19,2020-03-16,2020-03-20,2020-03-26,NaN,NaN
Louisiana,2020-03-13,2020-03-17,2020-03-16,2020-03-22,2020-03-23,NaN
Maine,2020-03-18,2020-03-18,2020-03-16,2020-03-25,2020-04-02,NaN
Maryland,2020-03-16,2020-03-16,2020-03-16,2020-03-23,2020-03-30,NaN
Massachusetts,2020-03-13,2020-03-17,2020-03-17,2020-03-24,NaN,NaN
Michigan,2020-03-13,2020-03-16,2020-03-16,2020-03-23,2020-03-24,NaN
Minnesota,2020-03-24,2020-03-17,2020-03-18,NaN,2020-03-27,NaN
Mississippi,2020-03-24,2020-03-24,2020-03-19,2020-04-03,2020-04-03,NaN
Missouri,2020-03-23,2020-03-23,2020-03-23,NaN,2020-04-06,NaN
Montana,2020-03-24,2020-03-20,2020-03-15,2020-03-26,2020-03-26,NaN
Nebraska,2020-03-16,2020-03-19,2020-04-02,NaN,NaN,NaN
Nevada,2020-03-24,2020-03-18,2020-03-16,2020-03-21,2020-03-31,NaN
New Hampshire,2020-03-16,2020-03-16,2020-03-16,2020-03-28,2020-03-27,NaN
New Jersey,2020-03-16,2020-03-16,2020-03-18,2020-03-21,2020-03-21,NaN
New Mexico,2020-03-12,2020-03-16,2020-03-13,2020-03-24,NaN,NaN
New York,2020-03-12,2020-03-16,2020-03-18,2020-03-22,2020-03-22,NaN
North Carolina,2020-03-14,2020-03-17,2020-03-14,2020-03-30,2020-03-30,NaN
North Dakota,NaN,2020-03-20,2020-03-16,NaN,NaN,NaN
Ohio,2020-03-12,2020-03-15,2020-03-16,2020-03-23,2020-03-23,NaN
Oklahoma,2020-03-24,2020-04-01,2020-03-17,2020-04-01,NaN,NaN
Oregon,2020-03-12,2020-03-17,2020-03-16,NaN,2020-03-23,NaN
Pennsylvania,2020-04-01,2020-03-18,2020-03-17,2020-03-23,2020-04-01,NaN
Rhode Island,2020-03-17,2020-03-17,2020-03-16,NaN,2020-03-28,NaN
South Carolina,2020-03-18,2020-03-18,2020-03-16,NaN,2020-04-07,NaN
South Dakota,2020-04-06,NaN,2020-03-16,NaN,NaN,NaN
Tennessee,2020-03-23,2020-03-23,2020-03-20,2020-04-01,2020-04-02,NaN
Texas,2020-03-21,2020-03-21,2020-03-19,NaN,2020-04-02,NaN
Utah,2020-03-19,2020-03-19,2020-03-16,NaN,NaN,NaN
Vermont,2020-03-13,2020-03-17,2020-03-18,2020-03-25,2020-03-24,NaN
Virginia,2020-03-15,2020-03-17,2020-03-16,2020-03-24,2020-03-30,NaN
Washington,2020-03-11,2020-03-16,2020-03-13,2020-03-25,2020-03-23,NaN
West Virginia,2020-03-24,2020-03-18,2020-03-14,2020-03-24,2020-03-25,NaN
Wisconsin,2020-03-17,2020-03-17,2020-03-18,2020-03-25,2020-03-25,NaN
Wyoming,2020-03-20,2020-03-19,2020-03-19,NaN,NaN,NaN
