state,hospital_beds_needed,hospital_beds_available,hospital_beds_shortage,icu_beds_needed,icu_beds_available,icu_beds_shortage,ventilators_needed
Alabama,318,5744,0,102,475,0,95
Alaska,30,683,0,7,54,0,6
Arizona,439,6018,0,122,508,0,111
Arkansas,87,5006,0,25,395,0,22
California,2503,26654,0,690,1994,0,640
Colorado,687,4852,0,197,555,0,180
Connecticut,3502,1739,1763,952,100,852,863
Delaware,206,696,0,59,41,18,54
Florida,1479,20184,0,427,1696,0,390
Georgia,2098,8323,0,557,590,0,498
Hawaii,30,957,0,10,45,0,9
Idaho,108,1818,0,27,151,0,26
Illinois,2770,14552,0,777,1131,0,700
Indiana,1176,8485,0,318,706,0,286
Iowa,268,4297,0,81,247,0,73
Kansas,191,4811,0,56,279,0,52
Kentucky,504,6210,0,142,449,0,129
Louisiana,2235,7205,0,671,477,194,607
Maine,76,1062,0,21,64,0,19
Maryland,2802,3961,0,678,266,412,616
Massachusetts,2515,4849,0,1020,277,743,1020
Michigan,4281,10155,0,1256,743,513,1147
Minnesota,340,4984,0,92,355,0,85
Mississippi,451,5733,0,122,341,0,112
Missouri,406,7933,0,108,559,0,98
Montana,30,1670,0,7,85,0,7
Nebraska,283,3130,0,84,233,0,76
Nevada,322,2248,0,89,183,0,83
New Hampshire,94,1019,0,27,84,0,24
New Jersey,9124,7815,1309,2750,466,2284,2531
New Mexico,145,1753,0,36,117,0,33
New York,19836,13011,6825,6188,718,5470,5819
North Carolina,605,7126,0,160,568,0,149
North Dakota,192,1545,0,61,87,0,56
Ohio,1093,14291,0,315,1239,0,287
Oklahoma,300,5458,0,87,467,0,80
Oregon,129,2658,0,34,210,0,31
Pennsylvania,4319,14395,0,1257,1044,213,1162
Rhode Island,728,795,0,215,42,173,196
South Carolina,253,4680,0,68,405,0,63
South Dakota,87,1806,0,26,74,0,24
Tennessee,237,7812,0,70,629,0,65
Texas,1294,28634,0,351,2260,0,316
Utah,342,2771,0,90,171,0,79
Vermont,56,533,0,14,34,0,14
Virginia,984,6581,0,261,329,0,235
Washington,925,4907,0,254,341,0,232
West Virginia,76,3032,0,20,196,0,19
Wisconsin,381,5365,0,106,173,0,97
Wyoming,385,1069,0,103,45,58,96
